event_id,state,latitude,longitude
nm600953,Arkansas,35.92,-91.28
nm600954,Arkansas,35.93,-91.26
nm600955,Arkansas,35.93,-91.25
nm600956,Arkansas,35.99,-91.42
nm600981,Missouri,37.32,-90.91
nm600991,Arkansas,36.16,-91.23
nm601072,Missouri,36.78,-91.39
nm601089,Missouri,36.72,-91.3
nm601107,Arkansas,36.44,-91.01
nm601163,Missouri,36.54,-90.79
usp000164s,New Mexico,34.595,-105.915
nm601228,Arkansas,36.13,-91.52
nm601238,Missouri,37.22,-90.67
usp00019sf,New Mexico,36.459,-105.187
nm601243,Arkansas,35.91,-91.33
nm601261,Arkansas,36.18,-91.08
nm601272,Arkansas,35.34,-90.83
nm601316,Missouri,38.71,-90.84
nm601362,Arkansas,36.24,-91.56
nm601390,Arkansas,36.16,-91.41
nm601391,Arkansas,36.13,-91.39
nm601392,Arkansas,36.15,-91.45
usp0001cv4,Colorado,39.751,-104.936
usp0001d00,Colorado,39.91,-104.964
nm601421,Missouri,36.9,-91.57
nm601455,Missouri,36.76,-91.63
usp0001e27,Texas,32.142,-94.399
nm601479,Missouri,36.83,-90.68
usp0001emz,Oklahoma,34.884,-97.677
usp0001f20,Kansas,38.308,-97.863
nm601565,Missouri,37.24,-90.73
usp0001fx9,Colorado,39.881,-104.914
usp0001gs5,Colorado,39.519,-105.299
usp0001gu9,Texas,32.021,-95.262
usp0001hw1,Texas,31.182,-102.492
nm601628,Arkansas,35.23,-92.28
nm601629,Arkansas,35.24,-92.27
nm601631,Arkansas,35.18,-92.25
nm601633,Arkansas,35.14,-92.08
nm601634,Arkansas,35.18,-92.25
nm601635,Arkansas,35.18,-92.21
nm601636,Arkansas,35.17,-92.14
nm601638,Arkansas,35.25,-92.29
nm601639,Arkansas,35.21,-92.18
usp0001jbt,Arkansas,35.21,-92.24
usp0001jcc,Arkansas,35.2,-92.22
nm601642,Arkansas,35.2,-92.28
nm601643,Arkansas,35.67,-92.65
nm601644,Arkansas,35.19,-92.25
nm601647,Arkansas,35.41,-92.51
nm601650,Arkansas,35.48,-92.51
nm601651,Arkansas,35.32,-92.35
nm601655,Arkansas,35.29,-92.25
nm601658,Arkansas,35.2,-92.11
usp0001k2s,Colorado,39.86,-104.853
usp0001k5b,New Mexico,35.357,-103.268
nm601676,Arkansas,35.21,-92.28
nm601677,Arkansas,35.18,-92.24
nm601678,Arkansas,35.53,-92.57
nm601681,Arkansas,34.24,-92.55
usp0001ky9,Texas,33.021,-100.844
usp0001m33,Oklahoma,34.07,-96.38
nm601701,Arkansas,35.99,-91.35
nm601702,Arkansas,35.21,-92.25
nm601703,Arkansas,35.21,-92.23
nm601704,Arkansas,35.93,-92.36
nm601708,Arkansas,35.28,-92.3
nm601709,Arkansas,36.25,-91.08
nm601724,Arkansas,35.3,-92.29
nm601725,Arkansas,36.4,-90.86
nm601733,Arkansas,35.34,-92.13
nm601734,Arkansas,35.33,-92.44
usp0001n9e,Arkansas,35.2,-92.23
nm601738,Arkansas,35.22,-92.21
nm601750,Arkansas,34.82,-91.29
nm601757,Missouri,37.29,-90.75
nm601760,Missouri,37.34,-91.82
nm601761,Arkansas,35.25,-92.34
nm601775,Missouri,37.24,-90.72
nm601782,Missouri,37.46,-90.99
nm601790,Arkansas,36.24,-91.22
usp0001ppd,Colorado,39.902,-104.912
nm601802,Arkansas,35.27,-92.17
nm601803,Arkansas,35.27,-92.26
nm601805,Arkansas,35.41,-92.03
nm601806,Arkansas,35.24,-92.25
nm601807,Arkansas,35.53,-92.56
nm601810,Arkansas,35.15,-92.25
nm601811,Arkansas,35.22,-92.11
nm601812,Arkansas,35.21,-92.18
nm601813,Arkansas,35.29,-92.28
usp0001q7y,Texas,36.102,-102.571
nm601833,Arkansas,36.09,-91.36
nm601841,Missouri,36.56,-90.67
nm601844,Arkansas,35.28,-92.19
nm601853,Arkansas,35.2,-92.07
usp0001r1f,Arkansas,35.19,-92.22
nm601856,Arkansas,35.25,-92.08
usp0001r1q,Arkansas,35.2,-92.22
usp0001r5h,Texas,33.003,-100.842
nm601865,Arkansas,34.74,-92.01
nm601875,Missouri,37.02,-90.97
nm601876,Arkansas,36.3,-91.53
nm601885,Missouri,36.456,-91.581
nm601886,Arkansas,35.28,-92.16
nm601890,Arkansas,35.29,-92.2
nm601893,Arkansas,35.45,-92.51
nm601898,Arkansas,35.107,-91.379
nm601907,Missouri,36.81,-91.62
usp0001tjg,Oklahoma,36.791,-100.196
nm601929,Arkansas,36.29,-91.22
nm601930,Arkansas,35.3,-92.04
nm601931,Arkansas,35.2,-92.15
nm601932,Arkansas,35.23,-92.2
nm601933,Arkansas,35.21,-92.16
nm601934,Arkansas,35.35,-92.4
nm601935,Arkansas,35.23,-92.19
usp0001u4v,Texas,35.448,-102.321
nm601941,Arkansas,35.29,-92.29
usp0001uvk,New Mexico,33.316,-106.438
nm601953,Missouri,38.48,-92.36
nm601960,Arkansas,35.002,-91.319
nm601961,Arkansas,35.019,-91.282
nm601962,Missouri,37.82,-92.36
nm601971,Arkansas,35.19,-92.18
nm601972,Arkansas,35.17,-92.16
nm601973,Arkansas,35.23,-92.22
nm601981,Missouri,37.1,-90.94
nm601982,Missouri,37.08,-90.94
nm601983,Missouri,37.11,-90.93
nm601984,Arkansas,35.26,-92.27
nm601988,Missouri,37.12,-90.93
nm601991,Missouri,37.13,-90.93
nm601995,Arkansas,35.25,-92.15
nm601997,Arkansas,36.06,-92.956
nm601998,Arkansas,36.18,-91.17
nm602010,Missouri,37.54,-90.93
usp0001xr8,Colorado,37.469,-104.314
nm602032,Missouri,36.74,-90.79
usp0001ydh,New Mexico,35.142,-104.388
usp0001yqw,New Mexico,35.245,-104.296
nm602039,Arkansas,36.165,-91.175
nm602040,Arkansas,36.17,-91.168
nm602049,Arkansas,36.047,-91.384
nm602054,Missouri,37.94,-90.66
usp00020cm,Arkansas,33.183,-92.704
usp00020d0,Arkansas,33.183,-92.704
usp000212k,Oklahoma,36.16,-95.58
nm602112,Arkansas,35.699,-92.523
nm602114,Arkansas,36.432,-91.682
nm602115,Arkansas,34.938,-91.152
usp00021rg,Oklahoma,34.657,-97.394
nm602249,Missouri,38.42,-91.03
usp0002288,Colorado,39.92,-105.02
nm602294,Missouri,36.696,-91.423
usp00022dx,Oklahoma,35.51,-96.3
nm602307,Missouri,36.929,-90.669
nm602310,Arkansas,36.145,-91.122
nm602324,Arkansas,35.61,-91.331
nm602325,Arkansas,35.608,-91.367
nm602326,Arkansas,35.603,-91.369
nm602327,Arkansas,35.586,-91.372
nm602328,Arkansas,35.38,-91.442
nm602331,Arkansas,35.598,-91.344
nm602332,Arkansas,35.603,-91.364
usp00024hq,Texas,35.067,-102.228
nm602337,Missouri,36.477,-91.436
usp00024nw,Colorado,39.22,-102.155
nm602342,Arkansas,36.091,-92.737
nm602343,Arkansas,36.106,-92.743
nm602344,Arkansas,36.1,-92.73
nm602348,Arkansas,36.17,-91.28
nm602359,Arkansas,36.48,-91.09
nm602360,Arkansas,35.23,-92.207
nm602362,Arkansas,36.15,-91.05
nm602373,Missouri,37.82,-90.92
nm602375,Arkansas,35.247,-92.446
nm602384,Arkansas,34.315,-92.646
usp00027a0,Texas,31.991,-100.697
usp00027gs,Texas,32.027,-100.688
nm602412,Arkansas,35.211,-92.2
nm602413,Arkansas,35.195,-92.212
nm602414,Arkansas,35.209,-92.343
nm602415,Arkansas,35.219,-92.22
nm602420,Missouri,36.87,-91.928
nm602421,Arkansas,35.184,-92.242
nm602441,Arkansas,36.0,-91.98
nm602444,Arkansas,35.2,-92.23
usp000297w,Oklahoma,34.711,-97.414
usp00029sq,New Mexico,32.266,-103.556
nm602492,Arkansas,35.92,-91.29
nm602496,Arkansas,35.251,-92.581
nm602512,Missouri,36.7,-91.44
nm602516,Arkansas,34.82,-90.99
nm602517,Arkansas,35.226,-92.279
nm602518,Arkansas,35.219,-92.277
nm602519,Arkansas,35.201,-92.205
nm602522,Arkansas,36.09,-91.49
nm602523,Arkansas,34.16,-91.52
nm602528,Missouri,39.11,-91.12
nm602532,Arkansas,36.12,-91.16
usp0002cyj,Colorado,38.558,-105.85
nm602541,Arkansas,36.47,-91.15
nm602552,Missouri,37.31,-90.75
nm602555,Arkansas,35.97,-91.14
nm602562,Arkansas,35.969,-91.272
nm602567,Arkansas,36.282,-90.879
nm602572,Missouri,36.45,-90.92
usp0002g76,New Mexico,33.621,-106.475
nm602597,Arkansas,36.148,-91.495
usp0002gty,New Mexico,35.051,-106.555
usp0002gv0,New Mexico,35.164,-106.542
nm602610,Arkansas,35.223,-92.213
nm602612,Arkansas,35.21,-92.2
nm602624,Arkansas,35.814,-93.123
nm602625,Arkansas,36.171,-91.739
nm602626,Missouri,36.593,-91.056
nm602628,Arkansas,35.733,-90.681
nm602629,Missouri,37.25,-90.72
usp0002jvq,Texas,33.548,-97.051
usp0002k0v,Oklahoma,34.629,-95.164
nm602638,Arkansas,36.201,-90.784
nm602640,Arkansas,35.917,-91.73
nm602641,Missouri,37.88,-90.79
nm602654,Arkansas,35.204,-92.214
usp0002mhe,Oklahoma,34.224,-97.788
nm602661,Arkansas,35.223,-92.188
nm602662,Arkansas,35.915,-91.354
nm602666,Arkansas,35.209,-92.201
nm602669,Arkansas,35.124,-92.288
nm602671,Arkansas,35.223,-92.261
nm602672,Arkansas,35.149,-92.265
nm602673,Arkansas,35.17,-92.26
nm602674,Arkansas,35.237,-92.243
nm602675,Arkansas,35.15,-92.22
nm602676,Arkansas,35.19,-92.2
nm602678,Arkansas,35.196,-92.288
nm602679,Arkansas,35.223,-92.346
nm602680,Arkansas,35.14,-92.25
nm602682,Arkansas,35.18,-92.21
nm602683,Arkansas,35.25,-92.27
nm602686,Arkansas,35.199,-92.213
nm602689,Arkansas,35.196,-92.263
nm602690,Arkansas,36.226,-90.765
nm602691,Arkansas,34.859,-90.72
nm602693,Arkansas,35.23,-92.57
nm602694,Arkansas,35.176,-92.243
nm602695,Arkansas,35.27,-92.29
nm602696,Arkansas,35.172,-92.219
nm602697,Arkansas,35.21,-92.26
nm602698,Arkansas,35.25,-92.29
nm602699,Arkansas,35.153,-92.243
usp0002nw5,New Mexico,35.281,-104.635
nm602704,Arkansas,35.187,-92.254
nm602706,Arkansas,35.405,-93.461
usp0002pn1,Oklahoma,34.76,-97.484
nm602713,Arkansas,36.057,-91.984
nm602714,Arkansas,35.223,-92.197
nm602731,Arkansas,35.237,-92.243
nm602732,Arkansas,35.192,-92.243
usp0002qea,Texas,32.064,-100.733
usp0002qkc,Texas,32.066,-100.693
nm602742,Arkansas,35.159,-92.226
nm602743,Arkansas,35.195,-92.243
nm602744,Arkansas,35.198,-92.334
nm602745,Arkansas,35.259,-92.273
nm602751,Missouri,36.507,-90.955
usp0002qzq,Oklahoma,34.868,-95.373
nm602760,Arkansas,35.17,-92.262
usp0002r9y,Oklahoma,34.692,-97.479
usp0002rg7,Texas,35.308,-102.514
nm602764,Arkansas,36.23,-90.86
nm602772,Arkansas,35.197,-92.219
nm602776,Arkansas,35.174,-92.243
usp0002spk,Oklahoma,34.405,-96.806
nm602784,Arkansas,35.23,-92.27
nm602787,Arkansas,36.437,-91.075
nm602795,Arkansas,35.278,-92.454
usp0002tbx,Oklahoma,35.165,-96.003
usp0002tc4,Oklahoma,34.931,-97.36
nm602801,Arkansas,36.23,-91.91
nm602810,Arkansas,35.178,-92.254
nm602814,Arkansas,35.18,-92.211
nm602815,Arkansas,35.118,-92.217
usp0002udk,Oklahoma,36.23,-94.877
usp0002up3,Oklahoma,35.656,-96.897
usp0002upk,Kansas,39.344,-99.781
usp0002upr,Oklahoma,34.652,-96.651
nm602826,Arkansas,34.68,-92.18
usp0002uxy,Oklahoma,34.056,-95.592
usp0002vkt,Oklahoma,34.706,-96.752
nm602852,Missouri,36.846,-90.764
nm602857,Missouri,36.85,-90.72
nm602862,Arkansas,35.406,-92.518
nm602881,Arkansas,36.27,-91.1
usp0002whh,Oklahoma,34.591,-96.62
nm602885,Arkansas,35.176,-92.255
nm602889,Arkansas,35.203,-92.26
nm602909,Arkansas,35.159,-92.233
usp0002xkk,New Mexico,35.16,-105.094
nm602915,Missouri,36.865,-91.603
usp0002xs2,Oklahoma,34.684,-96.483
usp0002xu1,Oklahoma,34.477,-96.503
usp0002y8h,Colorado,39.597,-105.285
nm602932,Arkansas,35.977,-91.354
usp0002z39,Kansas,37.918,-101.372
usp0002zkq,Oklahoma,34.192,-96.855
usp0002zq7,Oklahoma,36.993,-101.561
nm602962,Arkansas,35.166,-92.285
usp00030e1,Oklahoma,34.957,-97.526
usp00030e4,Oklahoma,35.125,-97.541
usp00030ed,Oklahoma,35.158,-97.671
usp00030qz,Oklahoma,35.766,-97.328
usp00030st,Texas,35.09,-101.605
nm602984,Arkansas,36.208,-91.182
usp00030vt,Oklahoma,34.959,-96.642
usp0003124,Oklahoma,35.142,-96.676
usp000312e,Texas,36.212,-100.35
usp000313h,Oklahoma,34.572,-97.204
usp000314r,Oklahoma,35.399,-95.839
usp00031ej,Oklahoma,34.815,-97.576
usp00031jc,Oklahoma,34.552,-97.425
nm603010,Missouri,36.76,-91.51
usp00031r1,Oklahoma,35.051,-97.517
usp00031wk,Oklahoma,35.828,-98.097
nm603026,Arkansas,35.989,-91.916
nm603027,Arkansas,35.978,-91.894
nm603031,Missouri,36.737,-91.427
usp0003265,Oklahoma,34.757,-97.58
nm603037,Missouri,36.54,-93.47
nm603039,Missouri,37.17,-90.85
usp00032kx,Oklahoma,34.846,-97.488
nm603050,Arkansas,35.618,-91.702
nm603051,Arkansas,35.209,-92.216
usp00032sc,Oklahoma,35.308,-96.62
nm603060,Arkansas,35.502,-90.79
nm603061,Arkansas,35.494,-90.76
nm603063,Missouri,36.705,-91.367
nm603065,Arkansas,35.51,-91.03
usp00033a0,Oklahoma,34.79,-96.331
nm603075,Arkansas,36.3,-91.87
usp0003471,Colorado,38.358,-105.651
usp0003505,New Mexico,33.545,-106.519
usp000350x,Oklahoma,35.455,-97.749
usp000352e,Oklahoma,35.89,-97.236
usp000352u,Oklahoma,35.878,-97.264
nm603099,Arkansas,35.228,-92.203
nm603100,Arkansas,35.155,-92.244
nm603101,Arkansas,35.718,-91.342
nm603107,Arkansas,35.139,-92.314
usp00035b7,Oklahoma,34.683,-97.276
usp00035f0,Oklahoma,34.615,-97.38
usp00035fy,Oklahoma,34.707,-96.555
nm603113,Arkansas,35.956,-91.224
usp00035ks,Oklahoma,35.165,-95.28
nm603148,Arkansas,35.229,-92.306
nm603149,Arkansas,35.171,-92.249
usp00035vt,Oklahoma,35.118,-96.347
nm603166,Arkansas,36.509,-91.923
usp0003668,Oklahoma,34.335,-96.726
nm603184,Missouri,36.65,-91.526
nm603185,Arkansas,35.19,-92.2
nm603191,Arkansas,34.64,-92.2
usp00036t7,Colorado,38.955,-106.507
nm603199,Arkansas,35.477,-90.812
nm603200,Arkansas,35.457,-90.804
nm603201,Arkansas,34.323,-92.734
nm603204,Arkansas,33.105,-92.889
nm603208,Arkansas,35.222,-92.224
nm603210,Arkansas,35.215,-92.241
nm603226,Arkansas,34.41,-91.898
usp00038db,Colorado,39.037,-106.553
nm603228,Arkansas,35.543,-90.853
nm603231,Arkansas,35.195,-92.258
nm603232,Arkansas,33.988,-92.356
nm603235,Arkansas,34.637,-92.308
nm603236,Arkansas,34.681,-92.274
nm603258,Missouri,37.431,-90.822
nm603263,Arkansas,36.44,-91.11
usp0003b0v,Oklahoma,34.664,-97.394
usp0003b16,Oklahoma,34.581,-97.348
usp0003b2c,Oklahoma,36.055,-98.024
usp0003b2d,Oklahoma,36.056,-98.03
usp0003bb0,Oklahoma,34.877,-95.512
nm603276,Arkansas,35.188,-92.225
nm603281,Arkansas,35.197,-92.217
usp0003c2x,Colorado,37.515,-106.684
usp0003ck4,Oklahoma,36.38,-98.466
usp0003e3p,Oklahoma,36.041,-96.824
nm603305,Arkansas,35.2,-92.204
usp0003e8m,Oklahoma,35.414,-96.573
nm603308,Arkansas,36.165,-91.742
usp0003efu,Oklahoma,36.31,-98.543
nm603313,Arkansas,35.189,-92.222
usp0003f14,Kansas,39.093,-99.155
nm603323,Arkansas,35.184,-92.222
nm603324,Arkansas,35.194,-92.226
nm603325,Arkansas,35.196,-92.207
nm603326,Arkansas,35.193,-92.213
usp0003f7k,Oklahoma,35.855,-99.207
nm603339,Arkansas,34.687,-92.181
nm603340,Missouri,37.31,-92.67
nm603341,Arkansas,35.977,-91.911
usp0003gqp,Oklahoma,34.743,-95.19
usp0003gz6,Oklahoma,36.533,-97.455
usp0003h29,Oklahoma,34.034,-98.71
usp0003h2n,Kansas,39.158,-99.113
usp0003h49,Texas,33.975,-99.657
usp0003h60,Oklahoma,34.507,-96.263
usp0003hma,Oklahoma,35.91,-98.71
usp0003j5v,Oklahoma,35.084,-97.373
nm603373,Arkansas,35.945,-91.276
nm603374,Arkansas,36.399,-91.047
usp0003kfy,Oklahoma,35.532,-95.355
nm603378,Missouri,38.4,-92.06
usp0003kzg,Kansas,39.111,-99.187
usp0003m2g,Oklahoma,34.926,-97.191
nm603390,Arkansas,36.149,-91.391
usp0003mb5,Oklahoma,34.465,-96.847
usp0003mgm,Oklahoma,34.472,-96.148
usp0003mrg,Oklahoma,35.883,-98.075
usp0003msx,Oklahoma,34.091,-96.144
nm603421,Arkansas,36.48,-91.782
nm603422,Louisiana,33.109,-92.978
nm603423,Arkansas,35.353,-91.923
usp0003q5v,New Mexico,35.118,-105.957
nm603430,Arkansas,34.206,-92.658
nm603434,Arkansas,35.697,-92.508
usp0003r8y,Kansas,39.115,-99.584
usp0003rbb,New Mexico,35.221,-104.093
usp0003rjy,Arkansas,33.201,-92.778
usp0003rne,Oklahoma,34.386,-96.831
usp0003s3p,Oklahoma,35.324,-96.464
nm603453,Arkansas,36.377,-91.036
usp0003s72,Oklahoma,35.212,-95.862
nm603455,Missouri,36.672,-91.251
nm603457,Missouri,37.12,-90.95
usp0003t8p,Colorado,37.075,-103.257
nm603460,Arkansas,34.424,-91.867
nm603461,Arkansas,34.481,-91.847
nm603462,Arkansas,34.473,-91.849
nm603464,Arkansas,35.182,-92.229
nm603465,Arkansas,35.182,-92.206
nm603466,Arkansas,35.225,-92.288
nm603470,Arkansas,36.362,-91.351
usp0003w3e,Kansas,39.165,-99.477
nm603487,Arkansas,36.245,-91.403
usp0003wb0,Kansas,39.143,-99.457
usp0003x10,Kansas,39.013,-99.564
usp0003x1f,Colorado,38.772,-102.635
nm603490,Missouri,36.586,-90.766
usp0003x9z,Kansas,39.168,-99.472
usp0003xg5,Oklahoma,36.405,-98.981
usp0003xgb,Oklahoma,36.434,-98.876
nm603506,Arkansas,35.954,-91.305
nm603519,Arkansas,36.306,-90.977
nm603523,Arkansas,36.153,-91.161
usp00041v5,Colorado,39.829,-105.016
nm603547,Arkansas,34.764,-91.085
nm603561,Arkansas,35.237,-90.757
nm603563,Arkansas,35.178,-90.758
nm603566,Missouri,36.731,-93.497
nm603577,Arkansas,36.153,-91.265
nm603588,Arkansas,36.14,-91.17
nm603601,Missouri,36.723,-90.782
usp000455t,Oklahoma,35.629,-98.827
usp00045qy,New Mexico,34.014,-106.544
nm603634,Arkansas,35.981,-91.535
usp00045z9,New Mexico,33.953,-106.588
nm603651,Arkansas,35.603,-93.051
nm603652,Arkansas,36.359,-92.251
nm603659,Missouri,36.692,-91.505
nm603679,Arkansas,36.175,-91.779
nm603706,Arkansas,36.065,-92.598
usp0004b7x,Texas,35.413,-102.106
nm603717,Missouri,37.88,-90.84
usp0004cdb,New Mexico,34.838,-106.006
nm603721,Arkansas,34.697,-91.351
nm603722,Arkansas,34.72,-91.344
nm603724,Arkansas,34.6,-93.376
nm603725,Arkansas,36.361,-90.926
nm603738,Arkansas,35.184,-92.237
nm603745,Arkansas,35.179,-92.211
nm603758,Arkansas,35.192,-92.193
usp0004en7,Colorado,39.701,-106.206
usp0004etd,Oklahoma,34.8,-95.53
nm603763,Arkansas,35.537,-92.275
nm603767,Arkansas,35.95,-91.456
nm603780,Arkansas,35.251,-92.215
nm603790,Arkansas,35.174,-92.219
usp0004gz5,Oklahoma,34.76,-97.59
nm603808,Arkansas,35.603,-93.042
nm603826,Missouri,36.774,-90.898
nm603828,Arkansas,35.173,-92.215
nm603833,Missouri,36.899,-90.827
usp0004m37,Oklahoma,36.378,-97.3
usp0004rfe,Colorado,37.459,-106.578
usp0004rff,Colorado,37.45,-106.6
usp0004rfh,Colorado,37.45,-106.6
usp0004rfm,Colorado,37.45,-106.6
usp0004sa8,Kansas,39.2,-99.4
nm603880,Arkansas,35.659,-92.537
usp0004t79,New Mexico,33.619,-106.475
nm603883,Arkansas,35.641,-91.681
nm603886,Missouri,37.358,-91.559
nm603887,Missouri,36.685,-91.567
nm603894,Arkansas,34.498,-93.246
nm603895,Arkansas,34.788,-91.735
nm603905,Arkansas,35.836,-91.488
nm603906,Arkansas,35.268,-91.114
nm603909,Arkansas,36.156,-91.488
nm603910,Arkansas,36.199,-91.459
usp000507h,New Mexico,34.85,-106.553
usp000519d,New Mexico,32.336,-103.101
usp000521b,Missouri,38.0,-92.67
usp00053r4,Oklahoma,34.002,-97.585
nm603930,Arkansas,35.235,-92.152
nm603932,Arkansas,36.08,-91.458
usp00054jg,Oklahoma,34.808,-97.667
usp000557w,Kansas,39.1,-99.5
usp00055va,Colorado,37.335,-104.773
usp00056tr,Colorado,37.378,-104.778
usp00059xx,Oklahoma,35.261,-96.421
nm603944,Arkansas,36.059,-91.424
usp0005avf,Kansas,38.76,-99.549
usp0005c7p,Oklahoma,34.77,-96.491
usp0005c8n,Oklahoma,34.618,-96.542
usp0005c8y,Oklahoma,34.982,-97.453
nm603946,Arkansas,35.03,-90.828
usp0005d2n,Texas,32.173,-102.708
nm603954,Missouri,36.432,-91.465
usp0005eyq,Oklahoma,36.402,-97.503
usp0005h1f,Oklahoma,35.2,-97.55
usp0005h2m,Oklahoma,34.808,-97.573
usp0005h4f,Oklahoma,34.83,-97.68
usp0005h8p,Oklahoma,34.83,-97.67
usp0005hqx,Oklahoma,34.9,-97.54
usp0005jd9,Oklahoma,34.756,-97.6
usp0005jdm,Oklahoma,34.744,-97.581
usp0005ks7,Oklahoma,36.595,-98.275
usp0005me4,Oklahoma,34.04,-97.1
usp0005pa4,Oklahoma,35.21,-95.93
usp0005q0s,New Mexico,35.391,-104.195
usp0005qe3,Nebraska,40.323,-95.652
usp0005ub3,New Mexico,33.619,-106.475
usp0005v1b,Texas,31.346,-102.509
usp0005vr7,Colorado,39.2,-106.7
usp0005vrc,Colorado,39.2,-106.7
usp0005vsv,Colorado,39.227,-106.715
usp0005vsw,Colorado,39.21,-106.716
usp000616s,Texas,35.868,-102.981
usp00064ew,New Mexico,35.863,-103.026
nm604042,Missouri,38.049,-90.842
usp00065fs,New Mexico,33.331,-105.682
usp0006bt3,Oklahoma,36.25,-98.09
usp0006e2p,Arkansas,33.013,-92.671
usp0006f5r,Oklahoma,34.676,-97.557
usp0006ghm,Colorado,38.608,-105.997
nm604083,Arkansas,36.14,-91.063
usp0006qek,Colorado,39.29,-104.811
usp0006r6v,Colorado,39.191,-106.617
usp0006rjc,Oklahoma,34.774,-97.596
usp0006sr5,Missouri,40.505,-94.952
usp0006ue4,New Mexico,35.0,-104.212
usp0006um6,Oklahoma,36.9,-99.6
usp0006v6r,Oklahoma,35.2,-99.028
usp0006ye5,Oklahoma,34.287,-96.732
usp0006ztp,Texas,35.436,-102.378
usp000703n,New Mexico,36.246,-104.814
nm604123,Missouri,37.69,-90.81
usp00073d2,Oklahoma,36.87,-98.69
usp00077wk,Oklahoma,35.061,-99.337
nm604133,Arkansas,35.38,-90.82
usp00079ex,Colorado,38.732,-104.917
usp00079wt,Colorado,38.716,-104.91
usp0007etm,New Mexico,33.586,-105.694
usp0007f83,New Mexico,34.255,-105.681
usp0007f84,New Mexico,34.27,-105.689
usp0007f8x,Texas,35.61,-102.601
nm604154,Arkansas,34.8563333,-91.3128333
usp0007mdj,New Mexico,34.204,-105.711
usp0007mm6,Kansas,37.3,-98.5
usp0007myx,Colorado,37.398,-104.247
usp0007myz,Colorado,37.378,-104.196
usp0007neq,Mississippi,33.577,-90.874
nm604215,Missouri,36.4701667,-91.2873333
usp0007s88,Colorado,37.349,-104.232
