event_id,state,latitude,longitude
usp00000z6,New Mexico,36.087,-106.168
usp00003hd,Colorado,37.148,-104.571
usp00005ac,Oklahoma,36.5,-100.693
usp00005ae,Arkansas,33.95,-93.09
usp00005af,Arkansas,34.05,-93.13
usp00005ag,Arkansas,33.96,-93.03
usp00005ah,Arkansas,33.92,-93.02
usp00005ar,Arkansas,33.95,-93.09
usp00005au,Arkansas,33.95,-93.09
usp00005av,Arkansas,34.001,-93.13
usp00005vr,Missouri,38.59,-90.91
nm600012,Missouri,36.66,-90.69
nm600022,Missouri,37.51,-90.9
nm600042,Missouri,36.82,-91.29
nm600043,Missouri,36.82,-91.29
nm600066,Arkansas,36.35,-91.29
usp00008xh,New Mexico,32.311,-104.143
usp000093w,Arkansas,34.67,-91.88
nm600123,Missouri,36.8,-91.7
usp000094v,Oklahoma,35.33,-97.48
nm600130,Missouri,38.6,-90.9
nm600136,Missouri,36.7,-92.0
usp00009c8,Arkansas,34.87,-90.94
usp00009fb,Missouri,38.2,-91.035
nm600193,Missouri,36.9,-91.11
nm600241,Missouri,37.23,-90.89
usp0000c8u,Texas,31.425,-104.012
nm600256,Missouri,37.23,-90.89
nm600257,Missouri,37.22,-90.88
nm600258,Missouri,37.23,-90.88
nm600262,Missouri,37.2,-90.92
nm600264,Arkansas,36.3,-91.8
usp0000csk,Oklahoma,34.139,-97.369
nm600272,Missouri,37.29,-90.92
usp0000d4a,Oklahoma,34.816,-97.406
usp0000dsb,Oklahoma,34.521,-97.347
nm600348,Missouri,37.54,-91.06
usp0000egm,Arkansas,35.923,-92.123
usp0000ejc,Texas,31.9,-103.077
usp0000emy,Texas,31.9,-103.071
usp0000eqk,Texas,31.902,-103.08
usp0000fq3,Oklahoma,36.615,-102.083
nm600385,Missouri,37.82,-90.99
nm600386,Arkansas,36.16,-90.8
nm600407,Missouri,37.1,-90.97
usp0000h1c,New Mexico,35.618,-103.278
nm600476,Arkansas,36.2,-91.4
usp0000kqd,Missouri,38.12,-91.07
nm600560,Missouri,37.36,-90.69
usp0000nmx,Texas,31.902,-103.083
nm600569,Arkansas,35.98,-91.2
usp0000p4q,Arkansas,34.61,-94.19
usp0000p6x,Texas,33.058,-100.749
nm600588,Missouri,36.67,-91.03
nm600601,Arkansas,36.07,-91.13
nm600615,Arkansas,35.68,-91.5
nm600633,Missouri,36.74,-90.83
nm600635,Arkansas,34.35,-92.8
usp0000rua,Texas,32.954,-100.837
usp0000t6r,Texas,31.562,-102.512
nm600690,Arkansas,36.14,-91.12
nm600698,Missouri,37.0,-90.75
nm600717,Arkansas,36.14,-91.18
nm600730,Arkansas,36.36,-90.77
usp0000uzg,Colorado,39.785,-104.871
usp0000v35,Texas,33.03,-100.766
nm600737,Arkansas,35.99,-91.32
nm600754,Missouri,37.59,-90.83
nm600794,Arkansas,35.85,-91.17
nm600811,Arkansas,36.31,-91.14
nm600818,Missouri,36.41,-91.56
nm600821,Arkansas,36.32,-91.18
nm600830,Arkansas,36.13,-91.25
nm600855,Arkansas,36.08,-91.27
nm600856,Missouri,37.36,-90.72
nm600880,Arkansas,36.06,-91.24
nm600884,Arkansas,36.41,-91.21
usp0000yad,Colorado,38.963,-105.16
nm600941,Arkansas,36.33,-91.24
nm600947,Arkansas,35.97,-91.17
nm600948,Arkansas,35.92,-91.26
nm600949,Arkansas,35.92,-91.28
nm600950,Arkansas,35.88,-91.29
nm600951,Arkansas,35.92,-91.24
nm600952,Arkansas,35.93,-91.24
