order_number,well_number,approval_date,year
326515.0,D-12,1988-06-01,1988
1502410043.0,3-23,2014-11-26,2014
412657.0,16-1,1997-05-27,1997
358628.0,2,1991-07-17,1991
413020.0,11-1,1997-06-05,1997
1203330005.0,1-24,2011-12-28,2011
415393.0,2-1,1997-08-25,1997
470540.0,8-1,2002-12-06,2002
413089.0,19-1,1997-06-10,1997
527606.0,13-1,2006-07-26,2006
352830.0,1-3,1990-12-21,1990
352831.0,6-2,1990-12-21,1990
1303340052.0,1-26,2013-04-01,2013
1404110018.0,2-2,2014-01-16,2014
800104.0,1-35,2003-10-21,2003
330603.0,1-2,1997-12-17,1997
1201630001.0,2-35,2011-11-10,2011
800031.0,4-1,1999-08-10,1999
414703.0,11-2,1997-08-01,1997
800036.0,1-36,1999-12-09,1999
352320.0,8-5,1990-12-06,1990
384487.0,D-14,1994-06-30,1994
446351.0,1-31,2000-11-06,2000
800095.0,1-3,2003-04-04,2003
454520.0,5-16,2001-07-24,2001
536285.0,5X,2007-03-05,2007
418280.0,4-2,1997-11-16,1997
800068.0,1-30,2001-09-10,2001
532557.0,1-10,2006-11-22,2006
800106.0,5-27,2003-12-23,2003
1105860050.0,10-1,2011-05-10,2011
800083.0,2-6,2002-08-14,2002
476151.0,1,2003-05-21,2003
489930.0,6,2004-05-11,2004
508881.0,1-26,2005-07-28,2005
536284.0,3X,2007-03-05,2007
552316.0,3172,2008-04-04,2008
1003740019.0,3062,2010-01-25,2010
568805.0,1-24,2009-07-02,2009
1005420146.0,1,2010-03-08,2010
1102650025.0,3117,2010-11-15,2010
1108170077.0,29-1D,2011-09-09,2011
1705090022.0,1-19H,2017-03-13,2017
1206970031.0,1,2012-06-18,2012
1206580088.0,2-19,2012-06-18,2012
1300360133.0,1,2012-09-17,2012
1500180075.0,1-1 SWD,2014-09-08,2014
1307530033.0,4,2013-07-26,2013
1609860014.0,2-21 H,2016-08-23,2016
1402720038.0,1,2013-11-06,2013
1405440062.0,25,2014-02-27,2014
1201590029.0,1SWD,2011-10-10,2011
407349.0,3,1996-11-27,1996
1306590009.0,3,2013-06-19,2013
1205710005.0,2551 SWD,2012-04-16,2012
1006700111.0,15-1,2012-12-11,2012
482979.0,3461  ,2003-11-21,2003
534435.0,2811,2007-01-19,2007
457162.0,3351,2001-10-10,2001
442407.0,3341,2000-06-29,2000
550904.0,2112,2008-03-04,2008
378975.0,20-1,1993-12-28,1993
552315.0,2174,2008-04-04,2008
285033.0,2,1985-09-10,1985
486106.0,1,2004-02-10,2004
1304690094.0,6-2,2013-05-20,2013
124063.0,5-1A,1976-09-08,1976
228020.0,17-2,1982-11-16,1982
86805.0,9-2,1971-09-24,1971
150095.0,14-3,1979-02-26,1979
457163.0,2872,2001-10-10,2001
550903.0,2271,2008-03-04,2008
551030.0,2641,2008-03-05,2008
550905.0,2741,2008-03-04,2008
504989.0,2751,2005-05-05,2005
1600530026.0,3112,2015-10-07,2015
482837.0,3161,2003-11-19,2003
504135.0,3551,2005-04-15,2005
486167.0,2772,2004-02-11,2004
490576.0,2721,2004-05-27,2004
536345.0,6X,2007-03-06,2007
554893.0,1531,2008-06-04,2008
457164.0,3371,2001-10-10,2001
1600530027.0,3311,2015-09-09,2015
95845.0,21-1,1973-02-05,1973
413702.0,1-44,1997-06-27,1997
504136.0,2662,2005-04-15,2005
551029.0,2131,2008-03-05,2008
398786.0,1,1996-01-19,1996
267173.0,18-1,1984-10-18,1984
1007610062.0,7-1,2010-06-30,2010
378093.0,6-3,1993-11-22,1993
1407950027.0,1 SWD,2014-06-11,2014
115221.0,1,1975-09-11,1975
32965.0,2W,1956-07-10,1956
203676.0,1,1981-12-03,1981
489137.0,1,2004-04-23,2004
213149.0,1,1982-04-13,1982
479140.0,1,2003-08-12,2003
440284.0,1-13,2000-04-12,2000
496726.0,1,2004-10-26,2004
523238.0,1-9,2006-04-13,2006
537227.0,3,2007-03-28,2007
466051.0,1-26,2002-07-25,2002
530314.0,3,2006-09-28,2006
423903.0,34,1998-06-15,1998
519851.0,1-12,2006-02-10,2006
560130.0,3,2008-09-30,2008
493687.0,24-1,2004-08-18,2004
561309.0,1-2,2008-10-24,2008
521623.0,1-34,2006-03-13,2006
1401670001.0,6-33,2013-09-16,2013
558168.0,1,2008-08-15,2008
1103720031.0,1-18,2011-03-14,2011
1108060106.0,2 SWD,2011-09-21,2011
1201000100.0,1-20,2011-12-20,2011
392368.0,1,1995-05-18,1995
24063.0,1,1950-10-09,1950
52088.0,7,1963-06-17,1963
429930.0,1A-36,1999-02-01,1999
1007300191.0,1-22,2010-07-08,2010
405850.0,1,1996-10-07,1996
430883.0,1D,1999-03-15,1999
386004.0,1-32,1994-09-07,1994
490757.0,1-9,2004-06-02,2004
1500920023.0,1-27,2015-02-12,2015
1706720025.0,1,2017-06-26,2017
1305620025.0,1,2013-05-29,2013
527937.0,1-A,2006-07-31,2006
1606550028.0,1,2017-02-23,2017
426913.0,SWD,1998-09-29,1998
521074.0,1,2006-03-02,2006
554199.0,1-5,2008-05-16,2008
461730.0,1,2002-03-18,2002
1703170079.0,1-26 SWD,2017-02-24,2017
544019.0,1-19,2007-09-11,2007
1104710125.0,1,2011-12-21,2011
1704830082.0,1,2017-02-15,2017
1203270237.0,1,2012-01-04,2012
1208030051.0,1,2012-10-11,2012
524146.0,1-30,2006-04-28,2006
419142.0,1-8,1997-12-23,1997
1702430047.0,1,2016-11-28,2016
1406460063.0,1-29,2014-05-22,2014
406384.0,1-17,1996-10-28,1996
1203170146.0,1-22 SWD,2012-07-13,2012
1201830038.0,25-12,2011-12-13,2011
515069.0,1-21,2005-11-18,2005
1704660067.0,1-16 SWD,2017-01-20,2017
1708260033.0,1-31,2017-07-05,2017
564192.0,2-6,2009-01-07,2009
1101830047.0,1-1,2010-11-09,2010
1605350082.0,1,2016-06-28,2016
1201780045.0,1-26,2011-12-14,2011
1708330031.0,1,2017-06-12,2017
1708820034.0,1-1 SWD,2017-05-09,2017
1709830014.0,SWD 1,2017-07-25,2017
1800070026.0,1,2017-08-30,2017
612215.0,1,2013-05-30,2013
246598.0,2,1983-10-17,1983
246389.0,103-2,1983-10-12,1983
1400170066.0,106-13,2013-08-07,2013
246594.0,209-2,1983-10-17,1983
1408400104.0,201-4,2014-07-17,2014
490756.0,5-1,2004-06-02,2004
456574.0,1-2,2001-09-21,2001
347202.0,B-2,1990-05-16,1990
84366.0,44-4,1971-04-01,1971
365816.0,3,1992-05-28,1992
292468.0,4-5,1986-02-03,1986
461462.0,8-1,2002-03-07,2002
374468.0,4-1,1993-06-09,1993
374472.0,5-1,1993-06-09,1993
1002240025.0,6-1,2009-11-10,2009
564347.0,1,2009-01-12,2009
247935.0,56G-1,1983-11-04,1983
195768.0,46-1,1981-08-06,1981
195768.0,58-1,1981-08-06,1981
135215.0,45-1,1977-07-25,1977
297765.0,67-1,1986-05-07,1986
297767.0,68-1,1986-05-07,1986
195768.0,60-1,1981-08-06,1981
1703800007.0,42-1,2017-01-12,2017
355703.0,1-23,1991-04-01,1991
