well_number,well_type,well_name,operator_id
1,2D,BROWN,1640
1-13,CDW,WHITE,17458
1,2D,SUTTON,23429
1-9,CDW,MAYES,23096
3,CDW,BOB J. FELTON,22078
1-26,CDW,CANYON SWD,18096
3,2D,OREN,23138
34,2D,NORTHEAST MAYFIELD,23429
1-12,2D,KNOOP,23429
3,CDW,WHITAKER  ,23431
24-1,2D,WHALEY,23429
1-2,CDW,GLORA,23325
1-34,CDW,NEWTON,18569
6-33,2D,PUCKETT,23138
1,CDW,TRIGGERS,22307
1-18,CDW,SWEETWATER SWD,20917
2 SWD,CDW,TRIGGERS,22307
1-20,CDW,4 CORNERS SWD,20917
1,CDW,DURAN,21266
1,2D,YELTON,21003
7,2D,"TRISSELL, V. C.",22081
1A-36,2D,ZIMMERMAN,22664
1-22,CDW,KARNS,15608
1,2D,FARIS-SCHNEIDER,23833
1D,2D,B.C. SMITH,23802
1-32,2D,MATLI,3186
1-9,2D,WHISLER,3186
1-27,CDW,SDW,3186
1,CDW,WEBB SWD,22964
1,CDW,SOWERS SWD,23032
1-A,2D,STATE WOOLSEY,12451
1,CDW,BROWN,22383
SWD,2D,RUSSWORM,23826
1,2D,BASE,12487
1-5,2D,IVINS SWD,20631
1,2D,GREENFIELD (FORMERLY RUHL),12487
1-26 SWD,2D,DEAK ROHLING ,3186
1-19,2D,IVINS,3186
1,2D,BUFORD THOMAS,13867
1,CDW,CANTELLAY SWD,23514
1,2D,BOMHOFF,20751
1,CDW,CHRISTENSEN UNIT B,23039
1-30,2D,WOLFE,3186
1-8,CDW,DIAMOND SWD,3186
1,CDW,KOPF SWD,23514
1-29,CDW,WATONGA,22078
1-17,2D,MAX CLARK,22649
1-22 SWD,CDW,COWAN,15608
25-12,CDW,MARRIOTT,20627
1-21,2D,SINCLAIR,3186
1-16 SWD,2D,JACKAL,3186
1-31,CDW,VIOLET,21316
2-6,2D,FOLEY,3186
1-1,CDW,LONGDALE SWD,20627
1,CDW,BASE SWD,23795
1-26,CDW,LARRY SWD,22078
1,CDW,SLO-POKE,23514
1-1 SWD,2D,WEST BLAINE,3186
SWD 1,CDW,WATONGA EAST ,22383
1,CDW,BRIDGER CREEK SWD,22383
1,2D,PHILLIPS,22182
2,2R,THOMSPON 205,3653
103-2,2R,BROMIDE UNIT (STEWART),3653
106-13,2R,LITTLE,3653
209-2,2R,LITTLE,3653
201-4,2R,LITTLE,3653
5-1,2D,DICKSON,14156
1-2,2R,WEST CEMENT,14156
B-2,CDW,HOPPIN,20924
44-4,2R,CEMENT I UNIT,23100
3,CDW,HEDLUND,18927
4-5,2D,SE CEMENT PERMIAN SAND UNIT,21291
8-1,2R,NE VERDEN,22220
4-1,2R,NE VERDEN UNIT,22220
5-1,2R,NE VERDEN UNIT,22220
6-1,2R,NE VERDEN UNIT,22220
1,2D,EAST CEMENT UNIT,14156
56G-1,2R,EAST BINGER UNIT (EPA WELL),20433
46-1,2R,EAST BINGER UNIT (EPA WELL),20433
58-1,2R,EAST BINGER UNIT (EPA WELL),20433
45-1,2R,EAST BINGER UNIT,20433
67-1,2R,EAST BINGER UNIT,20433
68-1,2R,EAST BINGER UNIT (EPA WELL),20433
60-1,2R,EAST BINGER UNIT,20433
42-1,2R,EAST BINGER UNIT,20433
1-23,2R,E.C. PARKER,1547
39-3,2R,E CEMENT UNIT,14156
1-10,2R,EASON,1547
22-1,2R,NE VERDEN UNIT,22220
1,2R,DAY,19779
38-1,2R,NEVU,22220
1-17,2R,PATTERSON,22182
41-1,2R,NE VERDEN UNIT,22220
23-1,2R,N.E. VERDEN,22220
11-1A,2R,W CEMENT UNIT,14156
1-9,2RSI,HUFFINE,23797
56G-2,2R,EAST BINGER UNIT (EPA WELL),20433
44GI-2,2R,EAST BINGER UNIT,20433
13G-2,2R,EAST BINGER UNIT,20433
23GI-2,2R,EAST BINGER UNIT,20433
21GI-2,2R,EAST BINGER UNIT,20433
8-3,2R,CCPSU BARRERA ,21158
1,CDW,TRIPLE S,22729
A6,2R,BECKER,22182
1-8,2R,ELMER,22182
11,2R,ELIZABETH,22182
6-21,2R,W CEMENT UNIT,14156
7-24,2R,W CEMENT UNIT,14156
7-25,2R,W CEMENT UNIT,14156
5-14,2R,WEST CEMENT UNIT,14156
9-14,2R,WEST CEMENT UNIT,14156
7-30,2R,W CEMENT UNIT,14156
8-11,2R,W CEMENT UNIT,14156
4,2R,W VERDEN HOXBAR UT (JAMES #1),18934
9,2R,W VERDEN HOXBAR UT (CADE #3),18934
17,2R,FARWELL BECKER,22182
A-8,2R,MELTON,22182
7,2R,BROWN,22182
8,2R,BROWN,22182
10,2R,LOOSE,18471
14,2R,WVHU UT#401838,18934
16,2R,WVHU,18934
5-1A,2R,CUTSHALL,19779
102,2R,RICHARD,22182
107,2R,THOMPSON,22182
104,2R,FARWELL,22182
105,2R,FARWELL,22182
109,2R,FARWELL,22182
108,2R,FARWELL BECKER,22182
1SWD,2D,HORTON,18634
37-3H,2R,EAST BINGER UNIT,20433
24,2R,WVHU,18934
26,2R,WVHU,18934
1-26,CDW,BROWER,23252
1 SWDW,CDW,PEARCY,22723
6-24,2R,WEST CEMENT UNIT,14156
5-15,2R,WEST CEMENT UNIT,14156
2,CDW,TRIPLE S DISPOSAL,22729
1-5 SWD,2D,HALLASAN,3186
1,2D,APPLEBY,18949
     1,2R,HELTON                        ,21291
1,2R,DIXON,21118
1,2D,STARKWEATHER,15227
B1,2R,CURTIS,16793
5-7,2R,NW CEMENT PERMIAN SAND UNIT,20924
3,2R,FARWELL BECKER,22182
5,2R,KIDD,22182
4,2R,KIDD,22182
12,2R,FARWELL BECKER,22182
4,2R,ELIZABETH,22182
1,2D,HOLMBERG,16793
A-1,2R,BECKER,22182
D-2,2D,GARRISON,18927
1-A,2D,FLETCHER,22137
2,CDW,BERT LACKEY  A/C 3,20924
24-4,2R,E CEMENT UNIT,14156
36-5,2R,E CEMENT UN (BELLE HEDLUND 5),14156
23-6,2R,E CEMENT UNIT,14156
7-1,2D,SE CEMENT PERMIAN (KLA-DA-ING),21291
1-7,2D,SE CEMENT PERMIAN SU (ESTES 1),21291
1,2D,IRA F. COLEMAN,23797
A2-10,2D,THORNE,18949
1-1,2D,SE CEMENT PERMIAN SAND UNIT,21291
5,2D,HARPER,21158
4-7,2R,W CEMENT UNIT,14156
1,2R,"OAKS  ""A""",23770
15,2R,STERBA,20924
40-1,2R,CEMENT I UNIT,23100
57-5,2R,CEMENT I UNIT,23100
1,2R,E CEMENT UN (EDNA BRYAN),23797
3,CDW,HOPPIN,20924
3-1A,2R,E CEMENT UNIT,14156
6,2R,ROWE,20924
6-7,2R,WEST CEMENT UNIT,14156
6-1,2R,ALDEN BROMIDE,19752
5,2D,NIDAY,20924
14-16,2R,E CEMENT UN (PAU-KUNE NO. 16),14156
4,2D,L.K. BINGHAM,23770
10-1B,2R,E CEMENT UNIT,14156
12-2,2D,APACHE BROMIDE SAND UNIT,22756
6,CDW,SCHOOL LAND,20924
37-3,2R,CEMENT I UNIT,23100
37-7,2R,CEMENT I UNIT,23100
3-21,2R,CEMENT I UNIT,23100
2,2D,MARGARET,18685
23,2D,W CEMENT MEDRANO UNIT,20924
20-4A,2R,E CEMENT UN (SURBECK NO. 4A),14156
2,2D,PROCTOR,21291
3,2R,RICHARD,22182
1-29,CDW,"RHODES UNIT ""A""",22785
1-14,2D,RATLIFF,22649
14-7,2R,ROBBERSON,23271
1,2D,BENNY PETERS,12487
1-12,CDW,HODGES,18880
6-30,2R,CCGU (SHUTTEE TRUST 30-1),22756
6-19,2R,CCGU (MELVIN 19-1),22756
1-6,2R,CCGU (BURKHEAD),22756
13-17,2R,CCGU (ROYCE BROTHERS 1),22756
3-17,2R,CCGU (ROYSE BROTHERS 3),22756
 5-7,2R,CCGU (ROYCE BROTHERS #5),22756
2,2R,BURKHEAD,22756
5-29,2R,CCGU (NITZEL 2),22756
9-6,2R,CCGU (CROUCH 3),22756
4-7,2R,CCGU (CARRIE EVANS 2-7),22756
7-18,2R,REESE,22756
7-20,2R,CCGU (REDING 20-7),22756
6-20,2R,CCGU (REDING 20-6),22756
1-32,2R,CCGU (HANSEN 32-1),22756
32-2,2R,HANSEN,22756
2-25N,2R,CCGU (SUE 1),22756
2-19,2R,CCGU (J & J 19-1),22756
9-20,2R,CCGU (KENNEDY 20-9),22756
2-19N,2R,"CCGU (BRODERSON ""B"" 1)",22756
12-18,2R,CCGU  (LEIGHTON 18-12),22756
2-31,2R,KITSON,22182
1-34,2R,PAUL WOLF HEIRS,1547
1A-20,CDW,WOSIKA,22078
1,CDW,CALUMET,20627
11-7,2R,CCGU,22756
2-24,2R,CCGU,22756
11-30,2R,CCGU,22756
7-8,2R,CCGU,22756
2-13,2R,CCGU,22756
1-12,2D,CHUPA,17441
1-1,2D,SPECHT,17441
14-12,2R,ROBBERSON ,23271
14-11,2R,ROBBERSON,23271
1-24,2D,WEST EDMOND,17441
14-13,2R,ROBBERSON,23271
1,2D,CANA SWD,21194
1-20SWD,CDW,DENNIS,22078
1-13,2D,CANA SWD,20751
1,CDW,SCOTT SWD,22898
2,2D,CANA SWD,21194
1-2 SWD,2D,WILLIAMSON ,20751
1,CDW,YDF SWD,18880
3-3,2D,CANA SWD,21194
1-6,2R,M.H. STEFFAN,18877
1,CDW,COLBERT,22696
2D,2D,BASS,23226
24-1W,2R,"MILROY UNIT (ELMORE ""A"" #1)",19169
J-14,2R,HEALDTON II WATERFLOOD UNIT,14156
1,CDW,JOHNSON,15097
106,2R,BUMPASS UNIT,14156
35,2R,BUMPASS UNIT,14156
104,2R,BUMPASS UNIT,14156
48-1,2R,TATUMS FIELD UNIT,14156
1,2R,GEORGE R. FISH,14156
3,2R,GEORGE R FISH,14156
2,2R,GEORGE FISH,14156
4-3,2R,JANE ROYALTY,14156
4-2,2R,TATUMS TOWNSITE (CARTER #2),14156
9,2D,MAY COX,21023
6,2R,JOAN LEWIS,20652
8,2R,JOAN LEWIS,20652
12,2R,JOAN LEWIS,20652
15,2D,EDWIN L. COX,21023
2-3,2R,SOUTH TATUMS SAND UNIT,11739
2-4,2R,SOUTH TATUMS SAND UNIT,11739
20,2R,SOUTH TATUMS SAND UNIT,11739
4,2D,C.D. WILLIAMS,13189
10,2D,JOAN LEWIS,20652
23,2R,WILDCAT JIM PENN UNIT,11739
9,2R,WILDCAT JIM PENN UNIT,11739
7,2R,WILDCAT JIM PENN UNIT,11739
19,2R,SOUTH TATUMS SAND UNIT,11739
7-2,2R,SOUTH TATUMS SAND UNIT,11739
6-8,2R,SOUTH TATUMS SAND UNIT,11739
6-4,2R,SOUTH TATUMS SAND UNIT,11739
7-5,2R,SOUTH TATUMS SAND UNIT,11739
1,2D,TILLEY,13189
PL 2,2R,TUSSY DEESE UNIT,19113
3-1,2R,COUNTYLINE UNIT,14156
4,2R,POLLACK,19169
14-2,2R,MTSU (BRIDENTHAL 2A),13189
7-13,2R,FRANKLIN UNIT,14156
6-22,2R,FRANKLIN UNIT,14156
10-7,2R,FRANKLIN UNIT,14156
1C-1,2R,FRANKLIN UNIT,14156
1,2R,KENNEMER ,22795
8-7,2R,FRANKLIN UNIT,14156
9-7,2R,FRANKLIN UNIT,14156
8-2,2R,FRANKLIN UNIT,14156
8-5,2R,FRANKLIN UNIT,14156
8-11,2R,FRANKLIN UNIT,14156
9-1,2R,FRANKLIN UNIT,14156
9-5,2R,FRANKLIN UNIT,14156
4-2,2R,FRANKLIN UNIT,14156
1B-2,2R,FRANKLIN UNIT,14156
1A-1,2R,FRANKLIN UNIT,14156
2-1,2R,FRANKLIN UNIT,14156
3-2,2R,FRANKLIN UNIT,14156
3-4,2R,FRANKLIN UNIT,14156
1,2D,COMBS-HEFNER,19113
1,2R,TATUMS SAND UNIT (CARTER #2),14156
3-1,2R,TATUMS TOWNSITE,14156
8-1,2R,TATUMS TOWNSITE,14156
7-1,2R,TATUMS TOWNSITE UNIT,14156
1,2R,YOUNG,20652
6,2D,SPARKS-HOOKS,1161
1,2D,McCLURE,19792
24-9,2R,MCCLURE TUSSY SAND UNIT,13189
6-11,2R,TATUMS FIELD UNIT,14156
7-4,2R,TATUMS FIELD UNIT,14156
6-7,2R,TATUMS FIELD UNIT,14156
24-1,2R,TATUMS FIELD UNIT,14156
1-2,2D,RATLIFF CITY FUSULINID UNIT,14490
4-6,2D,RATLIFF CITY FUSULINID UNIT,14490
5-1,2R,RATLIFF CITY FUSULINID UNIT,14490
5-3,2D,RATLIFF CITY FUSULINID UNIT,14490
13-1,2R,FRANKLIN UNIT,14156
12-3,2R,FRANKLIN UNIT,14156
12-6,2R,FRANKLIN UNIT,14156
12-1,2R,COUNTYLINE UNIT,14156
11-8,2R,FRANKLIN UNIT,14156
10-1B,2R,COUNTYLINE UNIT,14156
13-J2,2R,COUNTYLINE UNIT,14156
13-J5,2R,COUNTYLINE UNIT,14156
21-1,2R,COUNTYLINE DEESE UNIT,14156
22-9,2R,COUNTYLINE UNIT,14156
13-19,2R,COUNTYLINE UNIT-JORDAN 19,14156
30-13,2R,COUNTYLINE UNIT,14156
30-17,2R,COUNTYLINE UNIT-HARDIN 17,14156
28A-1B,2R,COUNTYLINE UNIT,14156
47-3,2R,COUNTYLINE UNIT (WINTERS 3),14156
45-1,2R,COUNTYLINE UNIT (WINTERS #1),14156
39-21,2R,COUNTYLINE UNIT,14156
39-10,2R,COUNTYLINE UNIT-WINTERS-HARDIN,14156
39-15,2R,COUNTYLINE UNIT-WINTERS-HARDIN,14156
2,2R,GRANT,7279
34-1,2R,COUNTYLINE UNIT-TIVIS 1,14156
32-1,2R,COUNTYLINE UNIT,14156
36-1,2R,COUNTYLINE UNIT-BOYLES 1,14156
32-2,2R,COUNTYLINE UNIT,14156
7-2,2D,RATLIFF CITY FUS,14490
7-5,2D,RATLIFF CITY FUS,14490
42-1,2R,TATUMS FIELD UNIT,14156
44-19,2R,TATUMS FIELD UNIT,14156
44-9,2R,TATUMS FIELD UNIT,14156
67-1,2D,TATUMS FIELD UNIT,14156
40-9,2R,TATUMS FIELD UNIT (LEWIS #9),14156
61-10,2R,TATUMS FIELD UNIT,14156
23,2R,SOUTH TATUMS SAND UNIT,11739
3-4,2R,SOUTH TATUMS SAND UNIT,11739
5-3,2R,SOUTH TATUMS SAND UNIT,11739
9,2R,SOUTH TATUMS SAND UNIT,11739
5-4,2R,SOUTH TATUMS SAND UNIT,11739
5-8,2R,SOUTH TATUMS SAND UNIT,11739
3,2R,NW CAMP DEESE UNIT(A S MOORE 1,22182
10-3,2R,SOUTH TATUMS SAND UNIT,11739
11,2R,SOUTH TATUMS SAND UNIT,11739
12-2,2R,"S.D.V. (MILLER EST.""A"" #2)",7279
6-1,2R,"S.D.V. (SPEARS ""B"" #1)",7279
7-6,2R,S.D.V. (SPEAR #6),7279
8-1,2R,S.D.U. (BOYLES #1),7279
15-1,2R,"S.D.V. (SPEARS ""C"" #1)",7279
20-2,2R,S.D.U. (MILLER EST #2),7279
1-4,2R,S.D.V.,7279
68-8,2R,COUNTYLINE UNIT-HIGHTOWER 8,14156
71-1,2R,COUNTYLINE UNIT-AKERS 1,14156
65-14,2R,COUNTYLINE UNIT,14156
81-1,2R,COUNTYLINE UNIT,14156
65-13,2R,COUNTYLINE UNIT-DIXON 13,14156
67-5,2R,COUNTYLINE UNIT-DIXON 5,14156
79-4,2R,COUNTYLINE UNIT-MCCARTNEY A4,14156
82-1,2R,COUNTYLINE UNIT-MCCARTNEY 1,14156
80-1,2R,COUNTYLINE UNIT-MCCARTNEY 1,14156
77-8,2R,COUNTYLINE UNIT,14156
76-1,2R,COUNTYLINE UNIT,14156
5,2R,TROY C MOSS,22182
88-3,2R,COUNTYLINE UNIT-MOORE 3,14156
86-2,2R,COUNTYLINE UNIT,14156
5 UPPR,2R,NW CAMP DEESE UNIT,22182
83,2R,BUMPASS UNIT,14156
81,2R,BUMPASS UNIT,14156
80,2R,BUMPASS UNIT,14156
19,2R,BUMPASS UNIT,14156
26,2R,BUMPASS UNIT,14156
17,2R,BUMPASS UNIT,14156
24,2R,BUMPASS UNIT,14156
22,2R,BUMPASS UNIT,14156
12,2R,S.J. HERNSTADT,19583
3-8,2R,NDU (NEUSTADT #8),22182
93,2R,BUMPASS UNIT,14156
4-1,2R,NDU (HERNSTADT #1),22182
1,2D,BYRD,23226
18,2D,BRADY,23226
6,2R,WILDCAT JIM UNIT,14156
36,2R,WILDCAT JIM PENN UNIT,11739
29,2R,WILDCAT JIM PENN UNIT,11739
44,2R,WILDCAT JIM PENN UNIT,11739
34,2R,WILDCAT JIM PENN UNIT,11739
30,2R,WILDCAT JIM PENN UNIT,11739
32,2R,WILDCAT JIM PENN UNIT,11739
42,2R,WILDCAT JIM PENN UNIT,11739
57,2R,WILDCAT JIM PENN UNIT,11739
56,2R,WILDCAT JIM PENN UNIT,11739
70,2R,WILDCAT JIM PENN UNIT,11739
52,2R,WILDCAT JIM PENN UNIT,11739
54,2R,WILDCAT JIM PENN UNIT,11739
64,2R,WILDCAT JIM PENN UNIT,11739
53,2R,WILDCAT JIM PENN UNIT,11739
85,2R,WILDCAT JIM PENN UNIT,11739
84,2R,WILDCAT JIM PENN UNIT,11739
89,2R,WILDCAT JIM PENN UNIT,11739
90,2R,WILDCAT JIM PENN UNIT,11739
92,2R,WILDCAT JIM PENN UNIT,11739
91,2R,WILDCAT JIM PENN UNIT,11739
