event_id,magnitude,mag_type,depth
nm601890,2.2,md,4.0
nm601893,2.1,md,4.0
nm601898,1.6,md,8.7
nm601907,2.1,md,0.8
usp0001tjg,2.7,mblg,5.0
nm601929,1.3,md,17.5
nm601930,2.3,md,5.0
nm601931,3.2,md,4.0
nm601932,2.5,md,4.0
nm601933,2.7,md,5.0
nm601934,2.0,md,4.0
nm601935,1.9,md,4.0
usp0001u4v,3.4,mblg,5.0
nm601941,1.8,md,3.0
usp0001uvk,3.5,ml,7.0
nm601953,3.0,md,5.0
nm601960,2.5,md,14.3
nm601961,0.8,md,4.4
nm601962,2.0,md,5.0
nm601971,2.5,md,4.0
nm601972,1.5,md,5.0
nm601973,2.1,md,4.0
nm601981,3.0,md,10.3
nm601982,1.6,md,10.6
nm601983,3.0,md,5.8
nm601984,2.5,md,5.0
nm601988,1.6,md,5.8
nm601991,1.2,md,0.8
nm601995,2.5,md,5.0
nm601997,2.2,md,9.9
nm601998,2.2,md,5.0
nm602010,2.8,md,10.6
usp0001xr8,3.4,ml,5.0
nm602032,2.3,md,5.0
usp0001ydh,3.1,ml,5.0
usp0001yqw,2.7,md,5.0
nm602039,2.7,md,12.0
nm602040,1.9,md,15.5
nm602049,2.1,md,10.8
nm602054,2.4,md,2.3
usp00020cm,3.0,mblg,5.0
usp00020d0,2.4,mblg,5.0
usp000212k,2.6,md,5.0
nm602112,2.3,md,8.4
nm602114,2.1,md,5.0
nm602115,2.2,md,10.4
usp00021rg,3.2,mblg,5.0
nm602249,2.3,md,5.0
usp0002288,2.5,ml,5.0
nm602294,2.3,md,2.1
usp00022dx,2.6,mblg,5.0
nm602307,2.3,md,5.0
nm602310,1.9,md,22.4
nm602324,1.7,md,8.7
nm602325,1.3,md,1.4
nm602326,1.9,md,11.4
nm602327,1.9,md,8.0
nm602328,1.4,md,13.7
nm602331,1.6,md,1.8
nm602332,1.5,md,5.8
usp00024hq,3.1,mblg,5.0
nm602337,1.7,md,5.6
usp00024nw,3.6,ml,5.0
nm602342,2.0,md,5.0
nm602343,2.8,md,5.0
nm602344,2.5,md,5.0
nm602348,0.0,md,5.0
nm602359,1.6,md,10.0
nm602360,2.6,md,5.2
nm602362,1.9,md,5.0
nm602373,3.0,md,7.1
nm602375,1.5,md,4.1
nm602384,2.1,md,3.7
usp00027a0,3.2,mblg,5.0
usp00027gs,3.0,mblg,5.0
nm602412,3.2,md,4.0
nm602413,2.7,md,4.6
nm602414,2.1,md,7.0
nm602415,2.3,md,6.7
nm602420,2.4,md,5.0
nm602421,2.0,md,6.7
nm602441,2.2,md,7.5
nm602444,2.1,md,6.4
usp000297w,2.9,mblg,5.0
usp00029sq,2.9,ml,5.0
nm602492,1.3,md,4.9
nm602496,2.1,md,3.0
nm602512,1.5,md,10.0
nm602516,2.3,md,5.0
nm602517,1.9,md,3.0
nm602518,2.0,md,3.0
nm602519,2.0,md,3.0
nm602522,1.1,md,6.7
nm602523,2.2,md,5.0
nm602528,2.1,md,5.0
nm602532,1.4,md,5.0
usp0002cyj,3.3,ml,5.0
nm602541,1.7,md,4.2
nm602552,1.9,md,4.3
nm602555,1.9,md,5.0
nm602562,1.8,md,5.0
nm602567,2.7,md,9.9
nm602572,1.5,md,7.1
usp0002g76,3.4,mblg,0.0
nm602597,2.0,md,4.1
usp0002gty,1.6,md,5.0
usp0002gv0,1.9,md,5.0
nm602610,2.7,md,6.6
nm602612,3.3,md,5.0
nm602624,3.3,md,2.0
nm602625,1.6,md,5.0
nm602626,1.7,md,6.7
nm602628,1.8,md,5.0
nm602629,1.7,md,5.0
usp0002jvq,3.3,mblg,5.0
usp0002k0v,2.9,mblg,5.0
nm602638,1.5,md,7.2
nm602640,2.5,md,7.9
nm602641,2.1,md,10.0
nm602654,2.2,md,4.1
usp0002mhe,2.0,mblg,5.0
nm602661,3.1,md,3.6
nm602662,1.9,md,12.9
nm602666,2.1,md,3.2
nm602669,2.0,md,3.8
nm602671,1.7,md,5.1
nm602672,2.3,md,1.1
nm602673,1.7,md,10.0
nm602674,2.0,md,4.6
nm602675,1.9,md,10.0
nm602676,2.1,md,5.0
nm602678,1.7,md,9.0
nm602679,2.5,md,3.8
nm602680,2.0,md,10.0
nm602682,2.1,md,5.0
nm602683,1.9,md,10.0
nm602686,1.3,md,5.0
nm602689,1.9,md,7.9
nm602690,2.1,md,6.3
nm602691,2.2,md,1.2
nm602693,2.2,md,14.6
nm602694,2.2,md,7.4
nm602695,2.1,md,4.0
nm602696,2.3,md,3.3
nm602697,2.1,md,10.0
nm602698,1.9,md,7.0
nm602699,2.2,md,8.4
usp0002nw5,3.6,mblg,5.0
nm602704,1.9,md,7.4
nm602706,2.2,md,5.0
usp0002pn1,2.7,mblg,5.0
nm602713,2.0,md,14.0
nm602714,2.1,md,3.0
nm602731,2.0,md,5.4
nm602732,1.7,md,5.0
usp0002qea,2.9,mblg,5.0
usp0002qkc,3.3,mblg,5.0
nm602742,2.4,md,3.7
nm602743,2.4,md,5.0
nm602744,1.3,md,5.0
nm602745,2.5,md,5.7
nm602751,2.2,md,5.0
usp0002qzq,1.8,mblg,5.0
nm602760,2.0,md,6.9
usp0002r9y,2.3,mblg,5.0
usp0002rg7,3.1,mblg,5.0
nm602764,2.1,md,5.0
nm602772,2.0,md,5.0
nm602776,2.3,md,3.6
usp0002spk,1.6,mblg,5.0
nm602784,1.6,md,3.2
nm602787,1.7,md,9.8
nm602795,1.6,md,5.1
usp0002tbx,1.7,md,5.0
usp0002tc4,2.2,md,5.0
nm602801,1.7,md,6.9
nm602810,2.3,md,7.3
nm602814,2.2,md,3.0
nm602815,3.1,md,3.5
usp0002udk,2.2,md,5.0
usp0002up3,2.0,md,5.0
usp0002upk,3.0,mblg,5.0
usp0002upr,1.3,md,5.0
nm602826,2.1,md,5.0
usp0002uxy,1.5,mblg,5.0
usp0002vkt,2.3,md,5.0
nm602852,1.9,md,10.0
nm602857,1.7,md,10.0
nm602862,2.2,md,6.1
nm602881,1.4,md,5.0
usp0002whh,2.3,mblg,5.0
nm602885,2.1,md,7.4
nm602889,2.2,md,9.0
nm602909,1.4,md,4.1
usp0002xkk,3.2,ml,5.0
nm602915,1.8,md,9.8
usp0002xs2,2.1,md,5.0
usp0002xu1,2.6,mblg,5.0
usp0002y8h,2.5,ml,5.0
nm602932,1.6,md,4.4
usp0002z39,3.0,mblg,5.0
usp0002zkq,1.7,md,5.0
usp0002zq7,2.4,md,5.0
nm602962,1.6,md,6.0
usp00030e1,1.8,mblg,5.0
usp00030e4,1.9,mblg,5.0
usp00030ed,1.8,mblg,5.0
usp00030qz,2.4,mblg,5.0
usp00030st,2.5,mblg,5.0
nm602984,1.0,md,8.0
usp00030vt,1.6,md,5.0
usp0003124,2.8,mblg,5.0
usp000312e,2.0,md,5.0
usp000313h,1.6,md,5.0
usp000314r,1.7,md,5.0
usp00031ej,1.9,md,5.0
usp00031jc,2.3,mblg,5.0
nm603010,1.6,md,5.0
usp00031r1,2.3,mblg,5.0
usp00031wk,3.1,mblg,5.0
nm603026,1.8,md,5.0
nm603027,1.2,md,5.0
nm603031,1.6,md,4.7
usp0003265,1.7,md,5.0
nm603037,2.5,md,5.0
nm603039,1.9,md,10.0
usp00032kx,2.1,mblg,5.0
nm603050,1.0,md,3.7
nm603051,1.6,md,5.0
usp00032sc,1.9,mblg,5.0
nm603060,2.2,md,2.9
nm603061,2.4,md,5.3
nm603063,1.9,md,5.3
nm603065,1.7,md,4.6
usp00033a0,2.8,mblg,5.0
nm603075,1.9,md,10.0
usp0003471,2.7,ml,5.0
usp0003505,2.9,ml,0.0
usp000350x,2.1,md,5.0
usp000352e,1.7,mblg,5.0
usp000352u,1.5,md,5.0
nm603099,2.3,md,3.0
nm603100,2.9,md,3.0
nm603101,2.2,md,17.5
nm603107,1.6,md,4.9
usp00035b7,1.6,md,5.0
usp00035f0,2.9,mblg,5.0
usp00035fy,1.9,md,5.0
nm603113,1.5,md,5.2
usp00035ks,1.5,md,5.0
nm603148,2.1,md,4.7
nm603149,2.0,md,3.0
usp00035vt,1.9,mblg,5.0
nm603166,2.0,md,6.1
usp0003668,1.7,md,5.0
nm603184,2.2,md,5.0
nm603185,2.6,md,2.6
nm603191,1.7,md,2.0
usp00036t7,2.8,ml,5.0
nm603199,1.0,md,10.4
nm603200,1.6,md,2.0
nm603201,1.7,md,5.0
nm603204,2.0,md,5.0
nm603208,2.0,md,1.9
nm603210,2.3,md,8.3
nm603226,1.7,md,2.4
usp00038db,2.5,ml,5.0
nm603228,1.3,md,2.0
nm603231,1.2,md,7.2
nm603232,1.6,md,13.1
nm603235,1.5,md,7.2
nm603236,1.9,md,6.7
nm603258,1.7,md,18.0
nm603263,2.0,md,5.0
usp0003b0v,2.6,mblg,5.0
usp0003b16,2.0,md,5.0
usp0003b2c,3.7,mblg,5.0
usp0003b2d,2.5,mblg,5.0
usp0003bb0,2.1,md,5.0
nm603276,2.0,md,5.8
nm603281,2.2,md,5.5
usp0003c2x,3.1,ml,5.0
usp0003ck4,1.9,mblg,5.0
usp0003e3p,1.4,md,5.0
nm603305,1.4,md,1.1
usp0003e8m,2.3,md,5.0
nm603308,2.4,md,7.2
usp0003efu,2.3,md,5.0
nm603313,2.0,md,5.2
usp0003f14,3.6,mblg,5.0
nm603323,1.9,md,4.0
nm603324,1.7,md,6.1
nm603325,2.0,md,1.8
nm603326,1.0,md,1.3
usp0003f7k,1.7,md,5.0
nm603339,1.5,md,8.9
nm603340,3.4,md,5.0
nm603341,2.3,md,3.5
usp0003gqp,2.1,md,5.0
usp0003gz6,1.8,md,5.0
usp0003h29,2.0,md,5.0
usp0003h2n,2.7,mblg,5.0
usp0003h49,2.3,md,5.0
usp0003h60,2.1,md,5.0
usp0003hma,2.3,mblg,5.0
usp0003j5v,1.7,md,5.0
